RECORRIDO DE CIERRES DE 2 EN 2  -  todas las velas, de inicio a fin
========================================================================================
fuente: spy_velas.db   dias: 2026-08-11, 2026-08-12, 2026-08-13

delta      = close[i] - close[i-1]   (el diferencial de cada par)
recorrido  = suma acumulada de |delta|  -> lo que el precio ANDUVO desde la apertura
neto       = close[i] - close[apertura] -> lo que el precio AVANZO desde la apertura

########################################################################################
# 1) PARES DESLIZANTES: cada vela contra la anterior
########################################################################################

=== 2026-08-11 ===   390 velas
  hora     open    close    delta  color  recorrido     neto
 09:30   774.52   773.94        -      -       0.00     0.00
 09:31   773.95   773.57    -0.37   ROJA       0.37    -0.37
 09:32   773.56   773.49    -0.08   ROJA       0.45    -0.45
 09:33   773.48   773.31    -0.18   ROJA       0.63    -0.63
 09:34   773.31   773.47    +0.16  VERDE       0.79    -0.47
 09:35   773.46   773.04    -0.43   ROJA       1.22    -0.90
 09:36   773.05   773.23    +0.19  VERDE       1.41    -0.71
 09:37   773.24   773.30    +0.07  VERDE       1.48    -0.64
 09:38   773.31   773.03    -0.27   ROJA       1.75    -0.91
 09:39   773.03   773.11    +0.08  VERDE       1.83    -0.83
 09:40   773.12   773.43    +0.32  VERDE       2.15    -0.51
 09:41   773.43   773.60    +0.17  VERDE       2.32    -0.34
 09:42   773.59   773.57    -0.03   ROJA       2.35    -0.37
 09:43   773.57   773.38    -0.19   ROJA       2.54    -0.56
 09:44   773.39   773.30    -0.08   ROJA       2.62    -0.64
 09:45   773.30   773.00    -0.30   ROJA       2.92    -0.94
 09:46   772.99   772.90    -0.10   ROJA       3.02    -1.04
 09:47   772.90   772.77    -0.13   ROJA       3.15    -1.17
 09:48   772.77   772.79    +0.02  VERDE       3.17    -1.15
 09:49   772.80   772.84    +0.05  VERDE       3.22    -1.10
 09:50   772.84   772.61    -0.23   ROJA       3.45    -1.33
 09:51   772.61   772.75    +0.14  VERDE       3.59    -1.19
 09:52   772.77   773.06    +0.31  VERDE       3.90    -0.88
 09:53   773.05   773.07    +0.01  VERDE       3.91    -0.87
 09:54   773.03   772.92    -0.15   ROJA       4.06    -1.02
 09:55   772.88   773.05    +0.13  VERDE       4.19    -0.89
 09:56   773.05   773.32    +0.27  VERDE       4.46    -0.62
 09:57   773.33   773.41    +0.09  VERDE       4.55    -0.53
 09:58   773.41   773.31    -0.10   ROJA       4.65    -0.63
 09:59   773.29   773.62    +0.31  VERDE       4.96    -0.32
 10:00   773.62   774.03    +0.41  VERDE       5.37    +0.09
 10:01   774.01   773.98    -0.05   ROJA       5.42    +0.04
 10:02   774.01   773.89    -0.09   ROJA       5.51    -0.05
 10:03   773.90   773.90    +0.01   DOJI       5.52    -0.04
 10:04   773.89   773.87    -0.03   ROJA       5.55    -0.07
 10:05   773.86   773.95    +0.08  VERDE       5.63    +0.01
 10:06   773.93   773.85    -0.10   ROJA       5.73    -0.09
 10:07   773.84   773.75    -0.10   ROJA       5.83    -0.19
 10:08   773.74   773.70    -0.05   ROJA       5.88    -0.24
 10:09   773.75   773.79    +0.09  VERDE       5.97    -0.15
 10:10   773.80   773.83    +0.04  VERDE       6.01    -0.11
 10:11   773.82   773.72    -0.11   ROJA       6.12    -0.22
 10:12   773.70   773.70    -0.02   DOJI       6.14    -0.24
 10:13   773.70   773.69    -0.01   ROJA       6.15    -0.25
 10:14   773.67   773.78    +0.09  VERDE       6.24    -0.16
 10:15   773.80   773.88    +0.10  VERDE       6.34    -0.06
 10:16   773.87   773.80    -0.08   ROJA       6.42    -0.14
 10:17   773.81   773.47    -0.33   ROJA       6.75    -0.47
 10:18   773.48   773.55    +0.08  VERDE       6.83    -0.39
 10:19   773.52   773.63    +0.08  VERDE       6.91    -0.31
 10:20   773.64   773.79    +0.16  VERDE       7.07    -0.15
 10:21   773.78   773.68    -0.11   ROJA       7.18    -0.26
 10:22   773.68   773.49    -0.19   ROJA       7.37    -0.45
 10:23   773.49   773.56    +0.07  VERDE       7.44    -0.38
 10:24   773.54   773.40    -0.16   ROJA       7.60    -0.54
 10:25   773.39   773.55    +0.15  VERDE       7.75    -0.39
 10:26   773.57   773.52    -0.03   ROJA       7.78    -0.42
 10:27   773.53   773.50    -0.02   ROJA       7.80    -0.44
 10:28   773.49   773.80    +0.30  VERDE       8.10    -0.14
 10:29   773.81   773.87    +0.07  VERDE       8.17    -0.07
 10:30   773.88   773.52    -0.35   ROJA       8.52    -0.42
 10:31   773.52   773.56    +0.04  VERDE       8.56    -0.38
 10:32   773.55   773.57    +0.01  VERDE       8.57    -0.37
 10:33   773.56   773.62    +0.05  VERDE       8.62    -0.32
 10:34   773.60   773.67    +0.05  VERDE       8.67    -0.27
 10:35   773.67   773.70    +0.03  VERDE       8.70    -0.24
 10:36   773.71   773.71    +0.01   DOJI       8.71    -0.23
 10:37   773.71   773.41    -0.30   ROJA       9.01    -0.53
 10:38   773.40   773.35    -0.06   ROJA       9.07    -0.59
 10:39   773.35   773.35    +0.00   DOJI       9.07    -0.59
 10:40   773.37   773.52    +0.17  VERDE       9.24    -0.42
 10:41   773.50   773.58    +0.06  VERDE       9.30    -0.36
 10:42   773.60   773.52    -0.06   ROJA       9.36    -0.42
 10:43   773.58   773.41    -0.11   ROJA       9.47    -0.53
 10:44   773.42   773.37    -0.04   ROJA       9.51    -0.57
 10:45   773.36   773.58    +0.21  VERDE       9.72    -0.36
 10:46   773.59   773.74    +0.16  VERDE       9.88    -0.20
 10:47   773.73   773.77    +0.03  VERDE       9.91    -0.17
 10:48   773.76   773.90    +0.13  VERDE      10.04    -0.04
 10:49   773.90   773.90    +0.00   DOJI      10.04    -0.04
 10:50   773.88   773.53    -0.37   ROJA      10.41    -0.41
 10:51   773.55   773.87    +0.34  VERDE      10.75    -0.07
 10:52   773.87   773.98    +0.11  VERDE      10.86    +0.04
 10:53   773.98   773.66    -0.32   ROJA      11.18    -0.28
 10:54   773.68   773.89    +0.23  VERDE      11.41    -0.05
 10:55   773.89   773.79    -0.10   ROJA      11.51    -0.15
 10:56   773.79   773.70    -0.09   ROJA      11.60    -0.24
 10:57   773.73   773.73    +0.03   DOJI      11.63    -0.21
 10:58   773.74   773.71    -0.02   ROJA      11.65    -0.23
 10:59   773.72   773.62    -0.09   ROJA      11.74    -0.32
 11:00   773.63   773.76    +0.14  VERDE      11.88    -0.18
 11:01   773.75   773.79    +0.03  VERDE      11.91    -0.15
 11:02   773.78   773.53    -0.26   ROJA      12.17    -0.41
 11:03   773.54   773.49    -0.04   ROJA      12.21    -0.45
 11:04   773.50   773.50    +0.01   DOJI      12.22    -0.44
 11:05   773.50   773.27    -0.23   ROJA      12.45    -0.67
 11:06   773.27   773.10    -0.17   ROJA      12.62    -0.84
