TAPE DEL SUBYACENTE (SPY) DE 2026-08-12 POR MINUTO
============================================================================================
acum_spy  = suma corrida del neto (COMPRA - VENTA) del tape del SPY, en USD
digitos   = cuantas cifras tiene acum_spy (sin contar el signo)
acum/tick = acum_spy dividido entre los ticks_spy de ESE minuto
ticks_spy = operaciones del tape del SPY en ese minuto

IMPORTES Y CONTEOS: exactos (precio x tamaño de cada operacion real de IBKR).
SIGNO: REGLA DEL TICK (sube respecto a la operacion anterior = COMPRA, baja = VENTA,
igual = hereda el signo). NO es la regla de HOY, que compara con el bid/ask vivo:
bajar el historico de cotizaciones de un dia son ~14.000 peticiones (~43 h).

   hora       spy  cuerpo        acum_spy  digitos      acum/tick  ticks_spy
  09:30    773.87    DOWN      -187321303        9         -46995       3986
  09:31    773.11    DOWN      -165635222        9         -69015       2400
  09:32    772.80    DOWN      -148022117        9         -81510       1816
  09:33    773.04      UP      -147275674        9         -68373       2154
  09:34    773.07      UP      -152586337        9         -79224       1926
  09:35    773.15      UP      -151283472        9         -64458       2347
  09:36    773.36      UP      -148440698        9         -80850       1836
  09:37    773.04    DOWN      -145841823        9         -85089       1714
  09:38    773.02    DOWN      -160952613        9        -108973       1477
  09:39    772.88    DOWN      -176331983        9        -104648       1685
  09:40    772.71    DOWN      -187399438        9         -67144       2791
  09:41    773.01      UP      -185683880        9        -113916       1630
  09:42    772.93    DOWN      -173675516        9        -118227       1469
  09:43    772.90    DOWN      -168792606        9        -108131       1561
  09:44    772.81    DOWN      -168673238        9        -131161       1286
  09:45    772.75    DOWN      -175635518        9        -114421       1535
  09:46    772.58    DOWN      -173088456        9         -92859       1864
  09:47    772.72      UP      -165551064        9        -105514       1569
  09:48    773.53      UP      -120760277        9         -43993       2745
  09:49    773.54      UP      -109452547        9         -51338       2132
  09:50    773.39    DOWN      -113318728        9         -80482       1408
  09:51    773.12    DOWN      -128669881        9         -72777       1768
  09:52    772.72    DOWN      -127171359        9         -76333       1666
  09:53    772.91      UP      -131532645        9         -99721       1319
  09:54    772.62    DOWN      -135483361        9         -94876       1428
  09:55    772.57    DOWN      -140390703        9        -100065       1403
  09:56    772.16    DOWN      -153523342        9         -94476       1625
  09:57    772.33      UP      -144447213        9        -119378       1210
  09:58    772.64      UP      -146613411        9        -120669       1215
  09:59    772.59    DOWN      -143781899        9        -118828       1210
  10:00    772.55    DOWN      -150570231        9         -90705       1660
  10:01    772.57    DOJI      -156700482        9         -91477       1713
  10:02    772.29    DOWN      -163841712        9         -91532       1790
  10:03    772.16    DOWN      -168028992        9        -119085       1411
  10:04    771.94    DOWN      -204021182        9        -113724       1794
  10:05    772.30      UP      -226589261        9        -145250       1560
  10:06    772.34      UP      -222484275        9        -219629       1013
  10:07    772.26    DOWN      -217003266        9        -264638        820
  10:08    772.34      UP      -216026259        9        -200024       1080
  10:09    772.40      UP      -260785132        9        -170448       1530
  10:10    772.64      UP      -247660436        9        -239517       1034
  10:11    772.49    DOWN      -251115362        9        -150009       1674
  10:12    772.43    DOWN      -247404536        9        -210736       1174
  10:13    772.37    DOWN      -247673857        9        -222929       1111
  10:14    772.38      UP      -244485186        9        -258989        944
  10:15    772.54      UP      -240474640        9        -236455       1017
  10:16    772.52    DOWN      -224063363        9        -182017       1231
  10:17    772.69      UP      -211634720        9        -145854       1451
  10:18    772.96      UP      -192419472        9        -121939       1578
  10:19    772.50    DOWN      -196130786        9        -156779       1251
  10:20    772.49    DOWN      -206034910        9        -171268       1203
  10:21    772.53      UP      -197167397        9        -180391       1093
  10:22    772.58      UP      -194002975        9        -164131       1182
  10:23    772.85      UP      -190772161        9        -214110        891
  10:24    772.97      UP      -186166760        9        -172377       1080
  10:25    772.82    DOWN      -183215839        9        -165806       1105
  10:26    773.26      UP      -196685260        9        -171928       1144
  10:27    773.19    DOWN      -197272656        9        -194549       1014
  10:28    773.04    DOWN      -201542523        9        -196435       1026
  10:29    772.80    DOWN      -216841638        9        -163654       1325
  10:30    772.74    DOWN      -227286839        9        -122991       1848
  10:31    772.48    DOWN      -199678975        9         -26511       7532
  10:32    772.24    DOWN      -207012878        9        -119661       1730
  10:33    772.45      UP      -196705213        9        -161631       1217
  10:34    772.07    DOWN      -194044599        9        -157504       1232
  10:35    772.25      UP      -172503980        9        -146066       1181
  10:36    772.39      UP      -173590904        9        -155827       1114
  10:37    772.66      UP      -166868475        9        -158319       1054
  10:38    772.55    DOWN      -183213212        9        -186571        982
  10:39    772.79      UP      -178315959        9        -155463       1147
  10:40    772.87      UP      -175563566        9        -163467       1074
  10:41    772.91      UP      -182713399        9        -165501       1104
  10:42    772.81    DOWN      -131570993        9        -110101       1195
  10:43    773.00      UP      -125815092        9        -139795        900
  10:44    773.06      UP      -122380370        9        -110952       1103
  10:45    773.10      UP      -127005761        9        -121420       1046
  10:46    773.03    DOWN      -127770757        9        -116686       1095
  10:47    772.55    DOWN      -133529872        9        -110538       1208
  10:48    772.53    DOWN      -139082308        9        -127716       1089
  10:49    772.68      UP      -138106091        9        -133824       1032
  10:50    772.30    DOWN      -139001598        9         -96261       1444
  10:51    772.34      UP      -144041432        9        -119437       1206
  10:52    772.46      UP      -135114013        9        -119148       1134
  10:53    772.44    DOWN      -122002439        9        -124365        981
  10:54    772.06    DOWN      -129665907        9         -96838       1339
  10:55    771.92    DOWN      -140043028        9        -126279       1109
  10:56    772.06      UP      -109452590        9         -71212       1537
  10:57    772.15      UP      -105743009        9        -108122        978
  10:58    772.20      UP      -105573763        9        -124058        851
  10:59    772.22      UP      -105294632        9        -125500        839
  11:00    772.12    DOWN      -103812099        9         -93272       1113
  11:01    772.22      UP       -99923898        8        -109806        910
  11:02    772.10    DOWN       -93749717        8        -110035        852
  11:03    771.81    DOWN       -97566788        8        -108770        897
  11:04    771.87      UP       -95019808        8         -96959        980
  11:05    771.85    DOWN       -93533442        8         -67290       1390
  11:06    772.18      UP       -77551075        8         -64626       1200
  11:07    772.12    DOWN       -61994411        8         -55106       1125
  11:08    772.09    DOWN       -60756606        8         -78905        770
  11:09    772.09      UP       -64507599        8         -87055        741
  11:10    771.87    DOWN       -67573508        8         -84361        801
  11:11    771.97      UP       -87936905        8         -68380       1286
  11:12    772.31      UP       -84229867        8        -109817        767
  11:13    772.26    DOWN       -90265427        8         -95317        947
  11:14    772.17    DOWN       -91446303        8        -109779        833
  11:15    772.08    DOWN       -87621124        8        -109253        802
  11:16    772.21      UP       -87174699        8        -121583        717
  11:17    772.26      UP       -80226920        8        -116103        691
  11:18    772.01    DOWN       -85915697        8        -111579        770
  11:19    772.10      UP       -84947410        8        -114484        742
  11:20    772.06    DOWN       -82725699        8        -100885        820
  11:21    772.11      UP       -83391768        8        -116307        717
  11:22    771.89    DOWN      +219120916        9        +253612        864
  11:23    771.89    DOJI      +212180224        9        +281033        755
  11:24    771.91      UP      +208311402        9        +295059        706
  11:25    771.94      UP      +209160803        9        +306238        683
  11:26    771.98      UP      +201807649        9        +294180        686
  11:27    771.96    DOWN      +199608552        9        +298369        669
  11:28    772.15      UP      +199810109        9        +262563        761
  11:29    772.37      UP      +202634319        9        +258462        784
