10:12:26 p1 | P a3 mny-5 (real -5.26) 761/758 | mid 0.110 spr 18.2% | C:NO_LLENA None 45.5s | V:None None Nones | ida-vuelta None$
10:13:16 p1 | P a4 mny-5 (real -5.26) 761/757 | mid 0.120 spr 16.7% | C:Filled 0.12 29.9s | V:FORZADO 0.13 45.5s | ida-vuelta 1.0$
10:14:54 p1 | P a2 mny-3 (real -3.26) 763/761 | mid 0.190 spr 10.5% | C:NO_LLENA None 45.5s | V:None None Nones | ida-vuelta None$
10:15:42 p1 | P a3 mny-3 (real -3.26) 763/760 | mid 0.240 spr 8.3% | C:NO_LLENA None 45.5s | V:None None Nones | ida-vuelta None$
10:16:29 p1 | P a4 mny-3 (real -3.26) 763/759 | mid 0.280 spr 7.1% | C:NO_LLENA None 45.5s | V:None None Nones | ida-vuelta None$
10:17:17 p1 | C a2 mny+5 (real +5.26) 761/763 | mid 1.810 spr 3.3% | C:Filled 1.76 3.5s | V:FORZADO 1.7500000000000004 45.5s | ida-vuelta -1.0$
10:18:41 p1 | C a3 mny+5 (real +4.62) 761/764 | mid 2.545 spr 2.0% | C:Filled 2.54 11.6s | V:FORZADO 2.4200000000000004 45.5s | ida-vuelta -12.0$
10:20:02 p1 | C a4 mny+5 (real +4.62) 761/765 | mid 3.240 spr 1.2% | C:Filled 3.15 5.1s | V:FORZADO 3.2399999999999998 45.6s | ida-vuelta 9.0$
10:21:16 p1 | C a2 mny+10 (real +9.62) 756/758 | mid 1.965 spr 18.8% | C:NO_LLENA None 45.6s | V:None None Nones | ida-vuelta None$
10:22:04 p1 | C a3 mny+10 (real +9.62) 756/759 | mid 2.900 spr 9.7% | C:NO_LLENA None 45.5s | V:None None Nones | ida-vuelta None$
10:22:52 p1 | C a4 mny+10 (real +9.62) 756/760 | mid 3.835 spr 6.0% | C:NO_LLENA None 45.5s | V:None None Nones | ida-vuelta None$
10:23:39 p1 | C a2 mny+20 (real +19.62) 746/748 | mid 2.000 spr 21.0% | C:NO_LLENA None 45.5s | V:None None Nones | ida-vuelta None$
