SENAL + M1 + M2 + ACUMULADO

  |C|-|P|    = diferencia del minuto, con signo
  SENAL      = UP si |CALL|>|PUT| ese minuto, DOWN si no
  M1         = quien va ganando el contador de MINUTOS acumulado
  M2         = quien va ganando el contador de DOLARES acumulado
  ACUMULADO  = suma corrida de |C|-|P| con signo desde la apertura
  SG         = signo del acumulado
  !! = minuto con re-centrado de strike (GAP D)

====================================================================================================
2026-08-10   323 minutos
====================================================================================================
   min      SPY      |CALL|       |PUT|      |C|-|P|  SENAL     M1     M2        ACUMULADO  SG
 09:55     773.07       75435      244613      -169178   DOWN   DOWN   DOWN          -169178   -
 09:56     773.16      121023      249698      -128675   DOWN   DOWN   DOWN          -297853   -
 09:57     773.35      150956      154948        -3992   DOWN   DOWN   DOWN          -301845   -
 09:58     773.41       78713      165401       -86688   DOWN   DOWN   DOWN          -388533   -
 09:59     773.47       55047      100764       -45717   DOWN   DOWN   DOWN          -434250   -
 10:01     773.73       68571       13841       +54730     UP   DOWN   DOWN          -379520   -
 10:02     773.71      139767       22997      +116770     UP   DOWN   DOWN          -262750   -
 10:03     773.59      166329       35186      +131143     UP   DOWN   DOWN          -131607   -
 10:04     773.72      264900       37208      +227692     UP   DOWN     UP           +96085   +
 10:05     773.68      215885        9747      +206138     UP    NEU     UP          +302223   +
 10:06     773.76       83177       29948       +53229     UP     UP     UP          +355452   +
 10:08     773.83      447539      101446      +346093     UP     UP     UP          +701545   +
 10:09     774.03      146894      100224       +46670     UP     UP     UP          +748215   +
 10:10     774.15      113030      207455       -94425   DOWN     UP     UP          +653790   +
 10:11     773.94      253287      282772       -29485   DOWN     UP     UP          +624305   +
 10:12     774.13      334040      536410      -202370   DOWN    NEU     UP          +421935   +
 10:13     774.21      294113      499074      -204961   DOWN   DOWN     UP          +216974   +
 10:14     774.22      317211      443336      -126125   DOWN   DOWN     UP           +90849   +
 10:15     774.20      453640      453702          -62   DOWN   DOWN     UP           +90787   +
 10:16     774.22      482208      458470       +23738     UP   DOWN     UP          +114525   +
 10:17     774.12      453122      245117      +208005     UP   DOWN     UP          +322530   +
 10:18     774.08      264687      105340      +159347     UP    NEU     UP          +481877   +
 10:19     774.29      295853      147124      +148729     UP     UP     UP          +630606   +
 10:20     774.31      170435      148986       +21449     UP     UP     UP          +652055   +
 10:21     774.31      187791      191549        -3758   DOWN     UP     UP          +648297   +
 10:22     774.12      163535      346050      -182515   DOWN    NEU     UP          +465782   +
 10:23     774.03       91295       31167       +60128     UP     UP     UP          +525910   +
 10:24     773.97       63005      224486      -161481   DOWN    NEU     UP          +364429   +
 10:25     774.22       19797      395825      -376028   DOWN   DOWN   DOWN           -11599   -
 10:26     774.15       57944      459113      -401169   DOWN   DOWN   DOWN          -412768   -
 10:27     774.19       64565      504447      -439882   DOWN   DOWN   DOWN          -852650   -
 10:28     774.27       54753      537023      -482270   DOWN   DOWN   DOWN         -1334920   -
 10:29     774.36       92301       97500        -5199   DOWN   DOWN   DOWN         -1340119   -
 10:30     774.47       34993       72590       -37597   DOWN   DOWN   DOWN         -1377716   -
 10:31     774.61       96276      132128       -35852   DOWN   DOWN   DOWN         -1413568   -
 10:32     774.62      155358      159682        -4324   DOWN   DOWN   DOWN         -1417892   -
 10:33     774.48      153145      158693        -5548   DOWN   DOWN   DOWN         -1423440   -
 10:34     774.36        4170        7737        -3567   DOWN   DOWN   DOWN         -1427007   -
 10:35     774.50       91249       30144       +61105     UP   DOWN   DOWN         -1365902   -
 10:36     774.45        4998       55767       -50769   DOWN   DOWN   DOWN         -1416671   -
 10:37     774.61       47317       66793       -19476   DOWN   DOWN   DOWN         -1436147   -
 10:38     774.35       89810      192449      -102639   DOWN   DOWN   DOWN         -1538786   -
 10:39     774.34       51633      141572       -89939   DOWN   DOWN   DOWN         -1628725   -
 10:40     774.45       38672      149439      -110767   DOWN   DOWN   DOWN         -1739492   -
 10:41     774.43       46896      178285      -131389   DOWN   DOWN   DOWN         -1870881   -
 10:42     774.61      164243       44065      +120178     UP   DOWN   DOWN         -1750703   -
 10:43     774.60      122691       44075       +78616     UP   DOWN   DOWN         -1672087   -
 10:44     774.60      130078      176738       -46660   DOWN   DOWN   DOWN         -1718747   -
 10:45     774.94      101003      150224       -49221   DOWN   DOWN   DOWN         -1767968   -
 10:46     774.88      228080       77063      +151017     UP   DOWN   DOWN         -1616951   -
 10:47     774.97       45292       45471         -179   DOWN   DOWN   DOWN         -1617130   -
 10:48     774.93      297976      122768      +175208     UP   DOWN   DOWN         -1441922   -
 10:50     774.83       26407      196988      -170581   DOWN   DOWN   DOWN         -1612503   -
 10:51     774.60       13471      416677      -403206   DOWN   DOWN   DOWN         -2015709   -
 10:52     774.32      190707      298112      -107405   DOWN   DOWN   DOWN         -2123114   -
 10:54     773.88        7432      445714      -438282   DOWN   DOWN   DOWN         -2561396   -
 10:55     773.88        3279      428436      -425157   DOWN   DOWN   DOWN         -2986553   -
 10:56!!   773.98       27930      459872      -431942   DOWN   DOWN   DOWN         -3418495   -
 10:57!!   773.89      100321      410114      -309793   DOWN   DOWN   DOWN         -3728288   -
 10:58     773.83      175713      351078      -175365   DOWN   DOWN   DOWN         -3903653   -
 10:59     773.51      301471      348207       -46736   DOWN   DOWN   DOWN         -3950389   -
 11:00     773.33      308347      558834      -250487   DOWN   DOWN   DOWN         -4200876   -
 11:01     773.72      324809      493858      -169049   DOWN   DOWN   DOWN         -4369925   -
 11:02     773.68      320557      477146      -156589   DOWN   DOWN   DOWN         -4526514   -
 11:03     773.83       30051       29173         +878     UP   DOWN   DOWN         -4525636   -
 11:04     773.71      194819       44782      +150037     UP   DOWN   DOWN         -4375599   -
 11:05     773.92      164063        5214      +158849     UP   DOWN   DOWN         -4216750   -
 11:06     773.88      120364       53041       +67323     UP   DOWN   DOWN         -4149427   -
 11:07!!   773.94      240236       73020      +167216     UP   DOWN   DOWN         -3982211   -
 11:08     773.75      300967      140295      +160672     UP   DOWN   DOWN         -3821539   -
 11:09     773.58      311486      134591      +176895     UP   DOWN   DOWN         -3644644   -
 11:10     773.63      266073      125150      +140923     UP   DOWN   DOWN         -3503721   -
 11:11     773.67      240740      182241       +58499     UP   DOWN   DOWN         -3445222   -
 11:12     773.53      224717      183243       +41474     UP   DOWN   DOWN         -3403748   -
 11:13     773.78      283899      131956      +151943     UP   DOWN   DOWN         -3251805   -
 11:14     773.82      287099      159162      +127937     UP   DOWN   DOWN         -3123868   -
 11:15!!   774.13     2048999      170253     +1878746     UP   DOWN   DOWN         -1245122   -
 11:16     773.95     1750562       85510     +1665052     UP   DOWN     UP          +419930   +
 11:17!!   773.91     1746637      101473     +1645164     UP   DOWN     UP         +2065094   +
 11:18     773.86     1718638      114949     +1603689     UP   DOWN     UP         +3668783   +
 11:19     773.92     1736461      114956     +1621505     UP   DOWN     UP         +5290288   +
 11:20!!   774.01      659408      211886      +447522     UP   DOWN     UP         +5737810   +
 11:21!!   773.98      671279      246032      +425247     UP   DOWN     UP         +6163057   +
 11:22     773.90      660173      153326      +506847     UP   DOWN     UP         +6669904   +
 11:23!!   773.99      379543      647694      -268151   DOWN   DOWN     UP         +6401753   +
 11:24!!   773.92      374013      632203      -258190   DOWN   DOWN     UP         +6143563   +
 11:25     773.55      395380      625926      -230546   DOWN   DOWN     UP         +5913017   +
 11:26     773.54      434875      498510       -63635   DOWN   DOWN     UP         +5849382   +
 11:27     773.72      407139      551646      -144507   DOWN   DOWN     UP         +5704875   +
 11:28     773.72      414276      562398      -148122   DOWN   DOWN     UP         +5556753   +
 11:29     773.74      481593      548607       -67014   DOWN   DOWN     UP         +5489739   +
 11:30     773.77      429873      524603       -94730   DOWN   DOWN     UP         +5395009   +
 11:31     773.62      420969      574231      -153262   DOWN   DOWN     UP         +5241747   +
 11:32     773.59      493755      636047      -142292   DOWN   DOWN     UP         +5099455   +
 11:33     773.54      483615      608768      -125153   DOWN   DOWN     UP         +4974302   +
 11:34     773.39      472307      597283      -124976   DOWN   DOWN     UP         +4849326   +
 11:35     773.47      357907      618306      -260399   DOWN   DOWN     UP         +4588927   +
 11:36     773.27      324617      550739      -226122   DOWN   DOWN     UP         +4362805   +
 11:37     773.34      379688      598713      -219025   DOWN   DOWN     UP         +4143780   +
 11:38     773.35      392588      572537      -179949   DOWN   DOWN     UP         +3963831   +
 11:39     773.28      367718      594795      -227077   DOWN   DOWN     UP         +3736754   +
 11:40     773.50      353574      609106      -255532   DOWN   DOWN     UP         +3481222   +
 11:41     773.57      295581      601231      -305650   DOWN   DOWN     UP         +3175572   +
 11:42     773.44      278246      651100      -372854   DOWN   DOWN     UP         +2802718   +
 11:43     773.63      266446      655101      -388655   DOWN   DOWN     UP         +2414063   +
 11:44     773.79      276545      644749      -368204   DOWN   DOWN     UP         +2045859   +
 11:45     773.78      247008      651033      -404025   DOWN   DOWN     UP         +1641834   +
 11:46     773.63      238039      675778      -437739   DOWN   DOWN     UP         +1204095   +
 11:47     773.59      265071      677133      -412062   DOWN   DOWN     UP          +792033   +
 11:48     773.57      234932      754519      -519587   DOWN   DOWN     UP          +272446   +
 11:49     773.55      229294      619034      -389740   DOWN   DOWN   DOWN          -117294   -
 11:50     773.72        5830       30034       -24204   DOWN   DOWN   DOWN          -141498   -
 11:51     774.00       94497      103666        -9169   DOWN   DOWN   DOWN          -150667   -
 11:52!!   774.12      143958      137372        +6586     UP   DOWN   DOWN          -144081   -
 11:53     774.17      248040       59997      +188043     UP   DOWN     UP           +43962   +
 11:54     774.21       97066       61425       +35641     UP   DOWN     UP           +79603   +
 11:55     774.13      206825       20756      +186069     UP   DOWN     UP          +265672   +
 11:56     774.16      122819       28261       +94558     UP   DOWN     UP          +360230   +
 11:57     774.28       57104       14106       +42998     UP   DOWN     UP          +403228   +
 11:58     774.33       35876        5742       +30134     UP   DOWN     UP          +433362   +
