==========================================================================================
BARRIDO TA (indicadores como señal direccional / de cambio) — EXPLORACION 170 sesiones
  (2025-08-07 a 2026-04-10)   metrica EV_op = 85*media_fav - 2.22 ; equilibrio media_fav>=0.026
==========================================================================================

CELDAS: 55.  FP esperados al 5% ~ 3

--- TODAS las celdas por EV (desc) ---
  familia                   H     n    acc%   media_fav      EV$   estab/4
  G4 BB rev                 30   1463   51.2  +0.0374     +0.96    3/4
  G3 EMAcross rev           12   1842   53.1  +0.0330     +0.58    3/4
  G3 EMAcross rev           20   1500   51.7  +0.0270     +0.08    3/4
  G4 BB rev                  8   2542   51.4  +0.0196     -0.56    1/4
  G4 BB breakout            20   1918   49.0  +0.0189     -0.61    1/4
  G3 EMAcross rev            8   2117   52.2  +0.0181     -0.68    1/4
  G1 RSI rev 20/80          12   1149   49.3  +0.0166     -0.81    2/4
  G2 MACD rev               20   3211   49.6  +0.0141     -1.02    1/4
  G3 EMAcross rev            5   2402   50.5  +0.0136     -1.07    0/4
  G4 BB rev                 12   2308   51.0  +0.0110     -1.28    1/4
  G4 BB rev                  5   2866   51.1  +0.0106     -1.32    0/4
  G2b MACDcross trend       20   2139   51.0  +0.0102     -1.36    1/4
  G1 RSI rev 30/70           8   3532   48.7  +0.0100     -1.37    0/4
  G1 RSI rev 30/70           5   4654   49.7  +0.0100     -1.37    1/4
  G2b MACDcross rev          8   3337   50.6  +0.0094     -1.42    1/4
  G2b MACDcross rev         12   2811   49.9  +0.0091     -1.45    1/4
  G1 RSI rev 25/75          12   1912   50.3  +0.0090     -1.45    1/4
  G3 EMAcross trend         30   1180   49.9  +0.0044     -1.84    1/4
  G2 MACD trend              8   7775   49.5  +0.0034     -1.93    0/4
  G2 MACD rev               12   5240   49.0  +0.0033     -1.94    0/4
  G1 RSI rev 30/70          30   1538   48.0  +0.0032     -1.95    1/4
  G2b MACDcross rev         30   1564   48.7  +0.0029     -1.97    2/4
  G2 MACD rev                5  12509   49.7  +0.0023     -2.03    0/4
  G2 MACD trend             30   2028   50.1  +0.0017     -2.08    1/4
  G1 RSI rev 30/70          12   2799   49.4  +0.0015     -2.09    0/4
  G2b MACDcross trend        5   3847   48.8  +0.0009     -2.14    0/4
  G1 RSI rev 25/75           5   2865   49.7  -0.0002     -2.23    0/4
  G2b MACDcross rev          5   3847   49.8  -0.0009     -2.30    0/4
  G2 MACD rev               30   2028   49.5  -0.0017     -2.36    2/4
  G1 RSI rev 20/80           8   1309   47.7  -0.0021     -2.40    1/4
  G2 MACD trend              5  12509   49.0  -0.0023     -2.41    0/4
  G2b MACDcross trend       30   1564   50.8  -0.0029     -2.47    2/4
  G2 MACD trend             12   5240   50.2  -0.0033     -2.50    0/4
  G2 MACD rev                8   7775   49.6  -0.0034     -2.51    0/4
  G3 EMAcross rev           30   1180   49.5  -0.0044     -2.60    0/4
  G1 RSI rev 25/75           8   2246   48.4  -0.0068     -2.80    0/4
  G2b MACDcross trend       12   2811   49.3  -0.0091     -2.99    1/4
  G2b MACDcross trend        8   3337   48.2  -0.0094     -3.02    0/4
  G2b MACDcross rev         20   2139   48.4  -0.0102     -3.08    0/4
  G4 BB breakout             5   2866   47.7  -0.0106     -3.12    0/4
  G4 BB breakout            12   2308   48.1  -0.0110     -3.16    0/4
  G1 RSI rev 25/75          20   1537   48.9  -0.0128     -3.31    1/4
  G3 EMAcross trend          5   2402   48.4  -0.0136     -3.37    0/4
  G2 MACD trend             20   3211   49.9  -0.0141     -3.42    0/4
  G1 RSI rev 20/80           5   1603   47.5  -0.0146     -3.46    0/4
  G3 EMAcross trend          8   2117   47.0  -0.0181     -3.76    0/4
  G4 BB rev                 20   1918   50.5  -0.0189     -3.83    0/4
  G4 BB breakout             8   2542   47.7  -0.0196     -3.88    0/4
  G1 RSI rev 25/75          30   1197   47.2  -0.0232     -4.20    2/4
  G1 RSI rev 20/80          20    998   48.6  -0.0245     -4.30    1/4
  G3 EMAcross trend         20   1500   47.7  -0.0270     -4.52    1/4
  G1 RSI rev 30/70          20   2069   48.2  -0.0286     -4.65    0/4
  G3 EMAcross trend         12   1842   46.2  -0.0330     -5.02    0/4
  G4 BB breakout            30   1463   48.1  -0.0374     -5.40    0/4
  G1 RSI rev 20/80          30    847   47.5  -0.0423     -5.82    1/4

==========================================================================================
CANDIDATAS QUE PASAN EL CRITERIO DE CONGELACION (EV>=0.50, media_fav>=0.032, n>=800, estab>=3/4, p_azar<=0.01):
  (casi) G4 BB rev H=30  EV=+0.96 n=1463 estab=3/4 pero p_azar=0.1433 > 0.01
  (casi) G3 EMAcross rev H=12  EV=+0.58 n=1842 estab=3/4 pero p_azar=0.0433 > 0.01
  NINGUNA pasa las 6 condiciones.
==========================================================================================
