COLUMNA SENAL AGRUPADA EN BLOQUES DE N MINUTOS (mayoria del bloque)
coincide = la mayoria del bloque coincide con lo que hizo el SPY DENTRO del bloque (descriptivo)
predice  = la mayoria del bloque coincide con lo que hizo el SPY en el bloque SIGUIENTE (predictivo)

====================================================================================
2026-08-10   323 minutos   (SENAL: UP 208 / DOWN 115)
====================================================================================
  N  bloques         coincide          predice  base SPY sube
  2      161 70/137 =  51%                    68/136 =  50%     71/161
  3      107 54/102 =  53%                    55/101 =  54%     57/107
  4       80 37/75 =  49%                     31/74 =  42%      35/80
  5       64 33/59 =  56%                     32/58 =  55%      32/64
  6       53 25/50 =  50%                     23/49 =  47%      26/53
  7       46 23/46 =  50%                     20/45 =  44%      22/46
  8       40 22/36 =  61%                     17/35 =  49%      17/40
  9       35 17/33 =  52%                     19/32 =  59%      19/35
 10       32 16/30 =  53%                     11/29 =  38%      19/32
 11       29 14/28 =  50%                     11/27 =  41%      12/29
 12       26 13/24 =  54%                     9/23 =  39%       15/26
 13       24 13/24 =  54%                     8/23 =  35%       11/24
 14       23 14/23 =  61%                     9/22 =  41%       13/23
 15       21 11/20 =  55%                     8/19 =  42%       11/21
 16       20 7/17 =  41%                      3/16 =  19%       9/20
 17       19 9/19 =  47%                      6/18 =  33%       10/19
 18       17 9/16 =  56%                      4/15 =  27%       11/17
 19       17 7/17 =  41%                      8/16 =  50%       7/17
 20       16 7/16 =  44%                      4/15 =  27%       8/16
 21       15 8/15 =  53%                      5/14 =  36%       8/15
 22       14 8/13 =  62%                      5/12 =  42%       6/14
 23       14 6/13 =  46%                      6/12 =  50%       7/14
 24       13 6/12 =  50%                      6/11 =  55%       7/13
 25       12 7/12 =  58%                      6/11 =  55%       6/12
 26       12 6/11 =  55%                      5/10 =  50%       5/12
 27       11 5/11 =  45%                      4/10 =  40%       5/11
 28       11 7/10 =  70%                      3/9 =  33%        5/11
 29       11 5/11 =  45%                      6/10 =  60%       5/11
 30       10 4/10 =  40%                      5/9 =  56%        4/10
 31       10 5/10 =  50%                      6/9 =  67%        5/10
 32       10 4/10 =  40%                      7/9 =  78%        5/10
 33        9 5/9 =  56%                       4/8 =  50%        4/9
 34        9 5/9 =  56%                       4/8 =  50%        3/9
 35        9 4/9 =  44%                       3/8 =  38%        4/9
 36        8 6/8 =  75%                       3/7 =  43%        4/8
 37        8 5/8 =  62%                       4/7 =  57%        3/8
 38        8 2/7 =  29%                       5/6 =  83%        3/8
 39        8 2/8 =  25%                       5/7 =  71%        4/8
 40        8 1/6 =  17%                       4/5 =  80%        4/8
 41        7 3/7 =  43%                       4/6 =  67%        4/7
 42        7 4/7 =  57%                       5/6 =  83%        5/7
 43        7 2/6 =  33%                       3/5 =  60%        3/7
 44        7 2/7 =  29%                       5/6 =  83%        3/7
 45        7 2/7 =  29%                       5/6 =  83%        3/7

====================================================================================
2026-08-11   359 minutos   (SENAL: UP 0 / DOWN 359)
====================================================================================
  N  bloques         coincide          predice  base SPY sube
  2      179 87/160 =  54%                    87/159 =  55%     81/179
  3      119 55/110 =  50%                    55/109 =  50%     60/119
  4       89 43/85 =  51%                     43/84 =  51%      44/89
  5       71 40/67 =  60%                     40/66 =  61%      28/71
  6       59 32/57 =  56%                     32/56 =  57%      25/59
  7       51 26/47 =  55%                     26/46 =  57%      21/51
  8       44 26/43 =  60%                     26/42 =  62%      18/44
  9       39 23/39 =  59%                     23/38 =  61%      16/39
 10       35 21/35 =  60%                     21/34 =  62%      14/35
 11       32 16/31 =  52%                     16/30 =  53%      15/32
 12       29 16/28 =  57%                     16/27 =  59%      12/29
 13       27 13/25 =  52%                     13/24 =  54%      13/27
 14       25 14/24 =  58%                     14/23 =  61%      11/25
 15       23 12/23 =  52%                     12/22 =  55%      11/23
 16       22 12/22 =  55%                     12/21 =  57%      10/22
 17       21 14/21 =  67%                     14/20 =  70%      7/21
 18       19 10/19 =  53%                     10/18 =  56%      9/19
 19       18 11/18 =  61%                     11/17 =  65%      7/18
 20       17 9/17 =  53%                      9/16 =  56%       8/17
 21       17 9/17 =  53%                      9/16 =  56%       8/17
 22       16 10/16 =  62%                     10/15 =  67%      6/16
 23       15 10/15 =  67%                     10/14 =  71%      5/15
 24       14 9/14 =  64%                      9/13 =  69%       5/14
 25       14 8/13 =  62%                      8/12 =  67%       5/14
 26       13 7/13 =  54%                      7/12 =  58%       6/13
 27       13 7/13 =  54%                      7/12 =  58%       6/13
 28       12 8/12 =  67%                      8/11 =  73%       4/12
 29       12 6/12 =  50%                      6/11 =  55%       6/12
 30       11 7/11 =  64%                      7/10 =  70%       4/11
 31       11 6/11 =  55%                      6/10 =  60%       5/11
 32       11 8/11 =  73%                      8/10 =  80%       3/11
 33       10 6/10 =  60%                      6/9 =  67%        4/10
 34       10 6/10 =  60%                      6/9 =  67%        4/10
 35       10 6/10 =  60%                      6/9 =  67%        4/10
 36        9 5/8 =  62%                       5/7 =  71%        3/9
 37        9 5/8 =  62%                       5/7 =  71%        3/9
 38        9 6/9 =  67%                       6/8 =  75%        3/9
 39        9 5/8 =  62%                       5/7 =  71%        3/9
 40        8 5/8 =  62%                       5/7 =  71%        3/8
 41        8 5/8 =  62%                       5/7 =  71%        3/8
 42        8 5/7 =  71%                       5/6 =  83%        3/8
 43        8 6/8 =  75%                       6/7 =  86%        2/8
 44        8 6/8 =  75%                       6/7 =  86%        2/8
 45        7 6/7 =  86%                       6/6 = 100%        1/7
