MAGNITUD DE FLUJO POR BLOQUES DE 10 MINUTOS
dCALL / dPUT = variacion del acumulado net_call / net_put dentro del bloque (dolares).
!! = el bloque contiene un RE-CENTRADO de strike de senal. Ahi el salto NO es flujo real:
   es el bug GAP D (premium fantasma), no activo el arreglo en ninguna de estas 2 sesiones.
   Los bloques marcados !! NO son utilizables para medir magnitud.

====================================================================================================
2026-08-10
====================================================================================================
      bloque        dCALL         dPUT  lado   ratio  SPY ini  dSPY blq  dSPY +10  dSPY +20  dSPY +30
09:50-09:59           20388      -143849   PUT     7.1   773.07     +0.40     +0.56     +0.82     +0.89
10:00-10:09          215465       -86383  CALL     2.5   773.73     +0.30     +0.26     +0.33     +0.31
10:10-10:19          182823       354579   PUT     1.9   774.15     +0.14     +0.07     +0.05         -
10:20-10:29         -262736       -51486  CALL     5.1   774.31     +0.05     -0.02         -     -0.85
10:30-10:39          -16640      -214162   PUT    12.9   774.47     -0.13         -     -0.83     -0.76
10:40-10:48         -259304       272207   PUT     1.0   774.45     +0.48     -1.10     -1.18     -1.07
10:50-10:59 !!      -275064       151219  CALL     1.8   774.83     -1.32     +0.07     +0.41     +0.23
11:00-11:09 !!       619833      -693425   PUT     1.1   773.33     +0.25     +0.34     +0.16     -0.30
11:10-11:19 !!      1470388        10194  CALL   144.2   773.63     +0.29     -0.18     -0.64     -0.37
11:20-11:29 !!      -177815      -336721   PUT     1.9   774.01     -0.27     -0.46     -0.19     +0.57
11:30-11:39          -62155       -70192   PUT     1.1   773.77     -0.49     +0.27     +1.03         -
11:40-11:49         -124280        -9928  CALL    12.5   773.50     +0.05     +0.76         -     +0.14
11:50-11:59 !!        50268       -11182  CALL     4.5   773.72     +0.59         -     -0.62     -0.94
12:00-12:08 !!       348662      -319556  CALL     1.1   774.37     -0.46     -0.24     -0.38     -1.30
12:10-12:19 !!      -150988       496518   PUT     3.3   773.99     -0.30     -0.32     -1.12     -1.08
12:20-12:29          106360       334128   PUT     3.1   773.74     -0.37     -0.80     -0.76     -0.42
12:30-12:39 !!     -1049962       449424  CALL     2.3   773.33     -0.76     +0.04     +0.38     +0.52
12:40-12:49 !!      -326889       127610  CALL     2.6   772.58     +0.03     +0.34     +0.48     +0.53
