PREMIUM POR MINUTO vs PRECIO DEL SPY  —  2026-08-11  —  expiry 0DTE 20260811
Rejilla completa 09:30 -> 16:13 = 404 minutos | con dato 373 | sin dato 31
B = ese minuto incluye la banda (3 min de golpe).  Vacio = sin lectura ese minuto.
Importes en DOLARES, premium BRUTO (no distingue comprador de vendedor).

┌──────────┬─────┬────────────────┬────────────────┬────────────────┬───────────┬────────┬────────┬─────────┬──────────┬────────┬──────────┬──────────┬──────────┬──────────┬──────────┬──────────┬──────────┬──────────┐
│   MINUTO │   B │           CALL │            PUT │          C - P │       SPY │    RSI │  SCORE │     DIR │    MACDh │   ATR% │     VWAP │      OBV │     EMA8 │    EMA21 │    EMA50 │    SMA20 │    SMA50 │   SMA200 │
├──────────┼─────┼────────────────┼────────────────┼────────────────┼───────────┼────────┼────────┼─────────┼──────────┼────────┼──────────┼──────────┼──────────┼──────────┼──────────┼──────────┼──────────┼──────────┤
│    09:30 │   B │              0 │              0 │             +0 │    774.05 │        │        │         │          │        │          │          │          │          │          │          │          │          │
│    09:31 │     │                │                │                │           │        │        │         │          │        │          │          │          │          │          │          │          │          │
│    09:32 │     │                │                │                │           │        │        │         │          │        │          │          │          │          │          │          │          │          │
│    09:33 │   B │        2714692 │        3476190 │        -761498 │    773.54 │        │        │         │          │        │          │          │          │          │          │          │          │          │
│    09:34 │     │                │                │                │           │        │        │         │          │        │          │          │          │          │          │          │          │          │
│    09:35 │     │                │                │                │           │        │        │         │          │        │          │          │          │          │          │          │          │          │
│    09:36 │   B │        2761649 │        3762014 │       -1000365 │    773.15 │        │        │         │          │        │          │          │          │          │          │          │          │          │
│    09:37 │     │                │                │                │           │        │        │         │          │        │          │          │          │          │          │          │          │          │
│    09:38 │     │                │                │                │           │        │        │         │          │        │          │          │          │          │          │          │          │          │
│    09:39 │   B │        3355894 │        4210723 │        -854829 │    773.01 │        │        │         │          │        │          │          │          │          │          │          │          │          │
│    09:40 │     │                │                │                │           │        │        │         │          │        │          │          │          │          │          │          │          │          │
│    09:41 │     │                │                │                │           │        │        │         │          │        │          │          │          │          │          │          │          │          │
│    09:42 │   B │        4160004 │        3011903 │       +1148101 │    773.70 │        │        │         │          │        │          │          │          │          │          │          │          │          │
│    09:43 │     │                │                │                │           │        │        │         │          │        │          │          │          │          │          │          │          │          │
│    09:44 │     │                │                │                │           │        │        │         │          │        │          │          │          │          │          │          │          │          │
│    09:45 │   B │        2570103 │        2326882 │        +243221 │    773.33 │        │        │         │          │        │          │          │          │          │          │          │          │          │
│    09:46 │     │                │                │                │           │        │        │         │          │        │          │          │          │          │          │          │          │          │
│    09:47 │     │                │                │                │           │        │        │         │          │        │          │          │          │          │          │          │          │          │
│    09:48 │   B │        3806270 │       10368606 │       -6562336 │    772.80 │        │        │         │          │        │          │          │          │          │          │          │          │          │
│    09:49 │   B │          30971 │          36979 │          -6008 │    772.70 │        │        │         │          │        │          │          │          │          │          │          │          │          │
│    09:50 │     │                │                │                │           │        │        │         │          │        │          │          │          │          │          │          │          │          │
│    09:51 │     │                │                │                │           │        │        │         │          │        │          │          │          │          │          │          │          │          │
│    09:52 │   B │        2165869 │        3568378 │       -1402509 │    772.78 │        │        │         │          │        │          │          │          │          │          │          │          │          │
│    09:53 │     │                │                │                │           │        │        │         │          │        │          │          │          │          │          │          │          │          │
│    09:54 │     │                │                │                │           │        │        │         │          │        │          │          │          │          │          │          │          │          │
│    09:55 │   B │        2404313 │        2615780 │        -211467 │    773.06 │   36.2 │      2 │    BULL │    0.035 │   0.04 │   772.99 │  bullish │   772.99 │   773.11 │   773.39 │          │          │          │
│    09:56 │     │         554844 │         243610 │        +311234 │    773.32 │   44.1 │      2 │    BULL │    0.052 │   0.04 │   773.02 │  bullish │   773.05 │   773.13 │   773.40 │          │          │          │
│    09:57 │     │         425550 │          83673 │        +341877 │    773.41 │   50.7 │      1 │    BULL │    0.073 │   0.04 │   773.11 │  bullish │   773.13 │   773.16 │   773.40 │          │          │          │
│    09:58 │   B │        2515195 │        2354275 │        +160920 │    773.31 │   50.2 │      1 │    BULL │    0.078 │   0.04 │   773.17 │  bullish │   773.17 │   773.17 │   773.40 │          │          │          │
│    09:59 │     │         455444 │         130885 │        +324559 │    773.62 │   65.2 │      1 │    BULL │    0.098 │   0.04 │   773.28 │  bullish │   773.27 │   773.21 │   773.41 │          │          │          │
│    10:00 │     │         845104 │         229324 │        +615780 │    774.03 │   74.0 │      1 │    BULL │    0.132 │   0.04 │   773.45 │  bullish │   773.44 │   773.29 │   773.43 │          │          │          │
│    10:01 │   B │        5027758 │        2265258 │       +2762500 │    773.98 │   76.7 │      0 │ NEUTRAL │    0.145 │   0.04 │   773.60 │  bullish │   773.56 │   773.35 │   773.45 │          │          │          │
│    10:02 │     │         509493 │         283724 │        +225769 │    773.89 │   73.5 │      1 │    BULL │    0.140 │   0.04 │   773.71 │  bullish │   773.63 │   773.40 │   773.47 │          │          │          │
│    10:03 │     │         215530 │         208458 │          +7072 │    773.90 │   73.0 │      1 │    BULL │    0.131 │   0.04 │   773.82 │  bullish │   773.69 │   773.45 │   773.49 │          │          │          │
│    10:04 │   B │        3362379 │        1602402 │       +1759977 │    773.87 │   80.0 │     -2 │    BEAR │    0.116 │   0.04 │   773.89 │  bullish │   773.73 │   773.48 │   773.50 │          │          │          │
│    10:05 │     │         172881 │         100521 │         +72360 │    773.95 │   79.4 │      0 │ NEUTRAL │    0.105 │   0.04 │   773.90 │  bullish │   773.78 │   773.53 │   773.52 │          │          │          │
│    10:06 │     │         157676 │         134446 │         +23230 │    773.85 │   71.6 │      1 │    BULL │    0.086 │   0.03 │   773.88 │  bullish │   773.80 │   773.56 │   773.53 │          │          │          │
│    10:07 │   B │        2550381 │        1293736 │       +1256645 │    773.75 │   67.7 │      1 │    BULL │    0.063 │   0.03 │   773.84 │  bullish │   773.79 │   773.57 │   773.54 │          │          │          │
│    10:08 │     │         128819 │         137570 │          -8751 │    773.70 │   71.4 │      1 │    BULL │    0.040 │   0.03 │   773.81 │  bullish │   773.77 │   773.58 │   773.55 │          │          │          │
│    10:09 │     │         123456 │         132871 │          -9415 │    773.79 │   70.8 │      3 │    BULL │    0.029 │   0.03 │   773.78 │  bullish │   773.77 │   773.60 │   773.56 │          │          │          │
│    10:10 │   B │        2445525 │        1195341 │       +1250184 │    773.83 │   66.5 │      3 │    BULL │    0.022 │   0.03 │   773.78 │  bullish │   773.78 │   773.62 │   773.57 │          │          │          │
│    10:11 │     │         149680 │          82703 │         +66977 │    773.72 │   59.9 │      0 │ NEUTRAL │    0.008 │   0.03 │   773.75 │  bearish │   773.77 │   773.63 │   773.57 │          │          │          │
│    10:12 │     │         149252 │          79301 │         +69951 │    773.70 │   63.1 │     -4 │    BEAR │   -0.003 │   0.03 │   773.75 │  bearish │   773.75 │   773.64 │   773.58 │          │          │          │
│    10:13 │   B │        1849592 │        1061479 │        +788113 │    773.69 │   52.9 │     -3 │    BEAR │   -0.012 │   0.03 │   773.75 │  bearish │   773.74 │   773.64 │   773.58 │          │          │          │
│    10:14 │     │         144198 │         121272 │         +22926 │    773.78 │   35.6 │      0 │ NEUTRAL │   -0.012 │   0.03 │   773.75 │  bearish │   773.75 │   773.66 │   773.59 │          │          │          │
│    10:15 │   B │              0 │              0 │             +0 │    773.88 │   44.6 │      0 │ NEUTRAL │   -0.006 │   0.03 │   773.73 │  bearish │   773.78 │   773.68 │   773.60 │          │          │          │
│    10:16 │     │         242075 │         147905 │         +94170 │    773.80 │   45.1 │     -1 │    BEAR │   -0.008 │   0.03 │   773.75 │  bearish │   773.78 │   773.69 │   773.61 │          │          │          │
│    10:17 │     │         243569 │         170278 │         +73291 │    773.47 │   32.5 │      1 │    BULL │   -0.031 │   0.03 │   773.73 │  bearish │   773.71 │   773.67 │   773.60 │          │          │          │
│    10:18 │   B │        2411033 │        1766826 │        +644207 │    773.55 │   37.5 │      0 │ NEUTRAL │   -0.040 │   0.03 │   773.69 │  bearish │   773.68 │   773.66 │   773.60 │          │          │          │
│    10:19 │     │         238824 │         121135 │        +117689 │    773.63 │   37.5 │     -2 │    BEAR │   -0.039 │   0.03 │   773.67 │  bearish │   773.67 │   773.65 │   773.60 │          │          │          │
│    10:20 │     │         197418 │         109335 │         +88083 │    773.80 │   48.1 │     -1 │    BEAR │   -0.026 │   0.03 │   773.66 │  bearish │   773.70 │   773.67 │   773.61 │          │          │          │
│    10:21 │   B │        1635699 │        1391068 │        +244631 │    773.68 │   47.4 │     -1 │    BEAR │   -0.025 │   0.03 │   773.64 │  bearish │   773.69 │   773.67 │   773.61 │          │          │          │
│    10:22 │     │         214975 │         116620 │         +98355 │    773.49 │   43.0 │     -4 │    BEAR │   -0.036 │   0.03 │   773.63 │  bearish │   773.65 │   773.65 │   773.61 │          │          │          │
│    10:23 │     │         199587 │         116923 │         +82664 │    773.56 │   42.3 │     -4 │    BEAR │   -0.037 │   0.03 │   773.65 │  bearish │   773.63 │   773.64 │   773.61 │          │          │          │
│    10:24 │   B │         941397 │        1190169 │        -248772 │    773.41 │   36.9 │     -4 │    BEAR │   -0.046 │   0.03 │   773.61 │  bearish │   773.58 │   773.62 │   773.60 │          │          │          │
│    10:25 │     │         169586 │         184656 │         -15070 │    773.55 │   44.8 │     -6 │    BEAR │   -0.041 │   0.03 │   773.56 │  bearish │   773.57 │   773.62 │   773.60 │          │          │          │
│    10:26 │     │         176451 │          87939 │         +88512 │    773.52 │   44.5 │     -6 │    BEAR │   -0.037 │   0.03 │   773.52 │  bearish │   773.56 │   773.61 │   773.59 │          │          │          │
│    10:27 │   B │        1494485 │        1468357 │         +26128 │    773.50 │   44.2 │     -6 │    BEAR │   -0.035 │   0.03 │   773.51 │  bearish │   773.55 │   773.60 │   773.59 │          │          │          │
