minuto;con_dato;incluye_banda;call;put;c_menos_p;spy
09:30;1;1;0;0;0;774.05
09:31;0;0;;;;
09:32;0;0;;;;
09:33;1;1;2714692;3476190;-761498;773.54
09:34;0;0;;;;
09:35;0;0;;;;
09:36;1;1;2761649;3762014;-1000365;773.15
09:37;0;0;;;;
09:38;0;0;;;;
09:39;1;1;3355894;4210723;-854829;773.01
09:40;0;0;;;;
09:41;0;0;;;;
09:42;1;1;4160004;3011903;1148101;773.70
09:43;0;0;;;;
09:44;0;0;;;;
09:45;1;1;2570103;2326882;243221;773.33
09:46;0;0;;;;
09:47;0;0;;;;
09:48;1;1;3806270;10368606;-6562336;772.80
09:49;1;1;30971;36979;-6008;772.70
09:50;0;0;;;;
09:51;0;0;;;;
09:52;1;1;2165869;3568378;-1402509;772.78
09:53;0;0;;;;
09:54;0;0;;;;
09:55;1;1;2404313;2615780;-211467;773.06
09:56;1;0;554844;243610;311234;773.32
09:57;1;0;425550;83673;341877;773.41
09:58;1;1;2515195;2354275;160920;773.31
09:59;1;0;455444;130885;324559;773.62
10:00;1;0;845104;229324;615780;774.03
10:01;1;1;5027758;2265258;2762500;773.98
10:02;1;0;509493;283724;225769;773.89
10:03;1;0;215530;208458;7072;773.90
10:04;1;1;3362379;1602402;1759977;773.87
10:05;1;0;172881;100521;72360;773.95
10:06;1;0;157676;134446;23230;773.85
10:07;1;1;2550381;1293736;1256645;773.75
10:08;1;0;128819;137570;-8751;773.70
10:09;1;0;123456;132871;-9415;773.79
10:10;1;1;2445525;1195341;1250184;773.83
10:11;1;0;149680;82703;66977;773.72
10:12;1;0;149252;79301;69951;773.70
10:13;1;1;1849592;1061479;788113;773.69
10:14;1;0;144198;121272;22926;773.78
10:15;1;1;0;0;0;773.88
10:16;1;0;242075;147905;94170;773.80
10:17;1;0;243569;170278;73291;773.47
10:18;1;1;2411033;1766826;644207;773.55
10:19;1;0;238824;121135;117689;773.63
10:20;1;0;197418;109335;88083;773.80
10:21;1;1;1635699;1391068;244631;773.68
10:22;1;0;214975;116620;98355;773.49
10:23;1;0;199587;116923;82664;773.56
10:24;1;1;941397;1190169;-248772;773.41
10:25;1;0;169586;184656;-15070;773.55
10:26;1;0;176451;87939;88512;773.52
10:27;1;1;1494485;1468357;26128;773.50
10:28;1;0;256782;93622;163160;773.81
10:29;1;0;382626;148285;234341;773.87
10:30;1;1;2102874;1384555;718319;773.52
10:31;1;0;231771;124029;107742;773.56
10:32;1;0;74292;47998;26294;773.57
10:33;1;1;1031506;923674;107832;773.62
10:34;1;0;93236;48105;45131;773.67
10:35;1;0;146268;53300;92968;773.70
10:36;1;1;1012144;654589;357555;773.71
10:37;1;1;102212;121964;-19752;773.41
10:38;1;0;739310;295920;443390;773.35
10:39;1;0;131688;116242;15446;773.35
10:40;1;1;2286518;1838957;447561;773.52
10:41;1;0;135566;84487;51079;773.58
10:42;1;0;121602;141871;-20269;773.53
10:43;1;1;1090843;1506954;-416111;773.41
10:44;1;0;132740;101787;30953;773.37
10:45;1;0;138939;93826;45113;773.58
10:46;1;1;1946141;1241869;704272;773.74
10:47;1;0;84558;81038;3520;773.77
10:48;1;0;333011;168126;164885;773.90
10:49;1;1;2710817;2252766;458051;773.90
10:50;1;0;270983;222412;48571;773.53
10:51;1;0;893047;103716;789331;773.87
10:52;1;1;2144513;1314190;830323;773.98
10:53;1;0;257797;268879;-11082;773.67
10:54;1;0;171749;124800;46949;773.89
10:55;1;1;2197092;1206089;991003;773.79
10:56;1;0;131534;97593;33941;773.70
10:57;1;0;94176;88478;5698;773.73
10:58;1;1;888335;676237;212098;773.71
10:59;1;0;76518;157932;-81414;773.62
11:00;1;0;72564;49698;22866;773.76
11:01;1;1;795547;550791;244756;773.79
11:02;1;0;113090;160809;-47719;773.53
11:03;1;0;183033;100433;82600;773.49
11:04;1;1;1209126;1359938;-150812;773.50
11:05;1;0;184856;211850;-26994;773.28
11:06;1;0;408221;593403;-185182;773.10
11:07;1;1;1661388;2877567;-1216179;773.05
11:08;1;0;174322;607664;-433342;772.88
11:09;1;0;93594;468232;-374638;772.81
11:10;1;1;1847514;2858747;-1011233;772.80
11:11;1;0;162091;542264;-380173;772.75
11:12;1;0;194539;286204;-91665;772.83
11:13;1;1;2035147;2013505;21642;772.61
11:14;1;0;111392;223173;-111781;772.66
11:15;1;0;99883;404593;-304710;772.64
11:16;1;1;1519301;2042910;-523609;772.53
11:17;1;0;127480;374485;-247005;772.49
11:18;1;0;366337;570215;-203878;772.22
11:19;1;1;2505511;3176132;-670621;772.45
11:20;1;0;846945;179278;667667;772.54
11:21;1;0;284685;357379;-72694;772.78
11:22;1;1;2629535;1644009;985526;772.75
11:23;1;0;85467;189914;-104447;772.64
11:24;1;0;297433;275250;22183;772.51
11:25;1;1;1147060;1527106;-380046;772.62
11:26;1;0;122510;103840;18670;772.62
11:27;1;0;112445;117690;-5245;772.46
11:28;1;1;880287;1119705;-239418;772.42
11:29;1;0;73230;102484;-29254;772.40
11:30;1;0;82835;96750;-13915;772.51
11:31;1;1;728027;1136748;-408721;772.36
11:32;1;0;199833;287107;-87274;772.46
11:33;1;0;161459;130685;30774;772.37
11:34;1;1;1382488;3254917;-1872429;771.95
11:35;1;0;366341;946512;-580171;772.01
11:36;1;0;126745;226631;-99886;772.05
11:37;1;1;2001690;3217069;-1215379;771.99
11:38;1;0;64165;200531;-136366;771.99
11:39;1;0;377125;746311;-369186;771.86
11:40;1;1;1280031;2110502;-830471;771.99
11:41;1;0;95929;137029;-41100;771.98
11:42;1;0;741723;628842;112881;772.11
11:43;1;1;1139022;1442100;-303078;772.18
11:44;1;0;158577;87481;71096;772.18
11:45;1;0;84137;129700;-45563;772.09
11:46;1;1;726808;1168265;-441457;771.98
11:47;1;0;243552;1081940;-838388;771.91
11:48;1;0;17536;38237;-20701;772.00
11:49;1;1;92732;126813;-34081;772.00
11:50;1;0;250280;94193;156087;772.23
11:51;1;0;963270;846591;116679;771.93
11:52;1;1;281926;1084150;-802224;771.84
11:53;1;0;80947;304709;-223762;771.79
11:54;1;0;124544;146961;-22417;771.84
11:55;1;1;1061244;1363464;-302220;771.79
11:56;1;0;37529;144369;-106840;771.91
11:57;1;0;56858;73216;-16358;771.86
11:58;1;1;751708;773398;-21690;772.00
