SPY 1 MINUTO - SERIE COMPLETA 09:30-16:00  (2026-08-10 y 2026-08-11)
Fuente del relleno: Yahoo Finance /v8/finance/chart, interval=1m, close de cada minuto, hora ET.
VALIDACION contra ta_minute.spy: 323 minutos solapados el 08-10 -> mediana +0.000, rango -0.02 a +0.14.
OJO: es feed consolidado del ETF, NO el feed de IBKR. Sirve para el PRECIO. No hay premium,
     ni net_call/net_put, ni TA para los minutos rellenados: esos datos no existen.

======================================================
2026-08-10   390 minutos (67 rellenados)
======================================================
  MINUTO  SPY(yahoo)   SPY(bd)     dif  ORIGEN
   09:30      773.35         -       -  RELLENADO
   09:31      773.44         -       -  RELLENADO
   09:32      773.41         -       -  RELLENADO
   09:33      773.28         -       -  RELLENADO
   09:34      772.64         -       -  RELLENADO
   09:35      772.83         -       -  RELLENADO
   09:36      772.80         -       -  RELLENADO
   09:37      772.79         -       -  RELLENADO
   09:38      772.74         -       -  RELLENADO
   09:39      772.80         -       -  RELLENADO
   09:40      772.67         -       -  RELLENADO
   09:41      772.98         -       -  RELLENADO
   09:42      772.93         -       -  RELLENADO
   09:43      772.99         -       -  RELLENADO
   09:44      772.66         -       -  RELLENADO
   09:45      772.84         -       -  RELLENADO
   09:46      772.95         -       -  RELLENADO
   09:47      773.03         -       -  RELLENADO
   09:48      773.03         -       -  RELLENADO
   09:49      773.13         -       -  RELLENADO
   09:50      772.94         -       -  RELLENADO
   09:51      772.77         -       -  RELLENADO
   09:52      772.98         -       -  RELLENADO
   09:53      773.20         -       -  RELLENADO
   09:54      773.13         -       -  RELLENADO
   09:55      773.05    773.07   -0.02  bd
   09:56      773.16    773.16   -0.00  bd
   09:57      773.35    773.35   -0.00  bd
   09:58      773.41    773.41   -0.00  bd
   09:59      773.47    773.47   -0.00  bd
   10:00      773.49         -       -  RELLENADO
   10:01      773.72    773.73   -0.01  bd
   10:02      773.71    773.71   -0.00  bd
   10:03      773.59    773.59   +0.00  bd
   10:04      773.72    773.72   -0.00  bd
   10:05      773.68    773.68   -0.00  bd
   10:06      773.76    773.76   +0.00  bd
   10:07      773.82         -       -  RELLENADO
   10:08      773.83    773.83   -0.00  bd
   10:09      774.03    774.03   -0.00  bd
   10:10      774.15    774.15   +0.00  bd
   10:11      773.94    773.94   +0.00  bd
   10:12      774.12    774.13   -0.00  bd
   10:13      774.21    774.21   +0.00  bd
   10:14      774.22    774.22   -0.00  bd
   10:15      774.20    774.20   +0.00  bd
   10:16      774.22    774.22   -0.00  bd
   10:17      774.12    774.12   -0.00  bd
   10:18      774.08    774.08   -0.00  bd
   10:19      774.29    774.29   -0.00  bd
   10:20      774.30    774.31   -0.01  bd
   10:21      774.31    774.31   -0.00  bd
   10:22      774.11    774.12   -0.01  bd
   10:23      774.03    774.03   -0.00  bd
   10:24      773.97    773.97   -0.00  bd
   10:25      774.22    774.22   -0.00  bd
   10:26      774.15    774.15   +0.00  bd
   10:27      774.19    774.19   +0.00  bd
   10:28      774.27    774.27   +0.00  bd
   10:29      774.35    774.36   -0.01  bd
   10:30      774.47    774.47   -0.00  bd
   10:31      774.61    774.61   -0.00  bd
   10:32      774.62    774.62   -0.00  bd
   10:33      774.48    774.48   -0.00  bd
   10:34      774.36    774.36   -0.00  bd
   10:35      774.50    774.50   +0.00  bd
   10:36      774.45    774.45   -0.00  bd
   10:37      774.60    774.61   -0.01  bd
   10:38      774.34    774.35   -0.01  bd
   10:39      774.34    774.34   +0.00  bd
   10:40      774.45    774.45   +0.00  bd
   10:41      774.43    774.43   -0.00  bd
   10:42      774.61    774.61   -0.00  bd
   10:43      774.60    774.60   -0.00  bd
   10:44      774.60    774.60   -0.00  bd
   10:45      774.93    774.94   -0.01  bd
   10:46      774.88    774.88   -0.00  bd
   10:47      774.97    774.97   -0.00  bd
   10:48      774.93    774.93   -0.00  bd
   10:49      774.92         -       -  RELLENADO
   10:50      774.83    774.83   +0.00  bd
   10:51      774.60    774.60   +0.00  bd
   10:52      774.32    774.32   -0.00  bd
   10:53      773.92         -       -  RELLENADO
   10:54      773.88    773.88   +0.00  bd
   10:55      773.88    773.88   +0.00  bd
   10:56      773.98    773.98   -0.00  bd
   10:57      773.89    773.89   +0.00  bd
   10:58      773.83    773.83   -0.00  bd
   10:59      773.52    773.51   +0.01  bd
   11:00      773.33    773.33   +0.00  bd
   11:01      773.72    773.72   -0.00  bd
   11:02      773.68    773.68   -0.00  bd
   11:03      773.83    773.83   +0.00  bd
   11:04      773.71    773.71   +0.00  bd
   11:05      773.92    773.92   -0.00  bd
   11:06      773.88    773.88   +0.00  bd
   11:07      773.93    773.94   -0.01  bd
   11:08      773.75    773.75   +0.00  bd
   11:09      773.58    773.58   +0.00  bd
   11:10      773.63    773.63   +0.00  bd
   11:11      773.66    773.67   -0.01  bd
   11:12      773.53    773.53   +0.00  bd
   11:13      773.78    773.78   +0.00  bd
   11:14      773.82    773.82   +0.00  bd
   11:15      774.13    774.13   +0.00  bd
   11:16      773.95    773.95   +0.00  bd
   11:17      773.91    773.91   -0.00  bd
   11:18      773.85    773.86   -0.01  bd
   11:19      773.92    773.92   -0.00  bd
   11:20      774.01    774.01   +0.00  bd
   11:21      773.98    773.98   -0.00  bd
   11:22      773.90    773.90   +0.00  bd
   11:23      773.99    773.99   -0.00  bd
   11:24      773.92    773.92   -0.00  bd
   11:25      773.55    773.55   -0.00  bd
   11:26      773.53    773.54   -0.01  bd
   11:27      773.72    773.72   -0.00  bd
   11:28      773.72    773.72   -0.00  bd
   11:29      773.74    773.74   -0.00  bd
   11:30      773.77    773.77   +0.00  bd
   11:31      773.63    773.62   +0.01  bd
   11:32      773.59    773.59   +0.00  bd
   11:33      773.54    773.54   -0.00  bd
   11:34      773.39    773.39   +0.00  bd
   11:35      773.47    773.47   -0.00  bd
   11:36      773.27    773.27   +0.00  bd
   11:37      773.34    773.34   +0.00  bd
   11:38      773.34    773.35   -0.01  bd
   11:39      773.28    773.28   +0.00  bd
   11:40      773.50    773.50   -0.00  bd
   11:41      773.57    773.57   +0.00  bd
   11:42      773.43    773.44   -0.01  bd
   11:43      773.64    773.63   +0.01  bd
   11:44      773.79    773.79   -0.00  bd
   11:45      773.78    773.78   +0.00  bd
   11:46      773.63    773.63   +0.00  bd
   11:47      773.59    773.59   +0.00  bd
   11:48      773.57    773.57   -0.00  bd
   11:49      773.55    773.55   -0.00  bd
   11:50      773.72    773.72   -0.00  bd
   11:51      774.01    774.00   +0.01  bd
   11:52      774.12    774.12   -0.00  bd
   11:53      774.16    774.17   -0.01  bd
   11:54      774.21    774.21   +0.00  bd
   11:55      774.13    774.13   +0.00  bd
   11:56      774.16    774.16   -0.00  bd
   11:57      774.28    774.28   +0.00  bd
   11:58      774.33    774.33   +0.00  bd
   11:59      774.31    774.31   -0.00  bd
   12:00      774.37    774.37   -0.00  bd
   12:01      774.25    774.25   +0.00  bd
   12:02      774.26    774.25   +0.01  bd
   12:03      774.18    774.18   -0.00  bd
   12:04      774.16    774.17   -0.01  bd
   12:05      774.08    774.08   +0.00  bd
   12:06      774.00    774.00   +0.00  bd
   12:07      774.06    774.06   -0.00  bd
   12:08      773.91    773.91   -0.00  bd
   12:09      773.99         -       -  RELLENADO
   12:10      773.99    773.99   -0.00  bd
