════════════════════════════════════════════════════════════
🔔 2026-08-19 15:20:10 | ARRANQUE | ARRANQUE del sistema vivo — 2026-08-19 (0DTE 20260819)
════════════════════════════════════════════════════════════
2026-08-19 15:20:10 | DATA   | IBKR conectando a 127.0.0.1:4002 clientId=17
════════════════════════════════════════════════════════════
🔔 2026-08-19 15:20:11 | IBKR | IBKR conectado (paper 4002)
════════════════════════════════════════════════════════════
════════════════════════════════════════════════════════════
🔔 2026-08-19 15:20:11 | ARRANQUE | Autocalibra: saldo=1497 nivel=10 ancho=4 tope=250 unidades=1
════════════════════════════════════════════════════════════
════════════════════════════════════════════════════════════
🔔 2026-08-19 15:20:11 | ARRANQUE | BACKFILL de arranque (SPY premarket + ETF + día anterior)
════════════════════════════════════════════════════════════
2026-08-19 15:20:11 | DATA   | backfill SPY 2 D 1 min useRTH=False
2026-08-19 15:20:11 | DATA   | backfill SPY: 1402 barras persistidas (fecha 2026-08-19)
2026-08-19 15:20:12 | DATA   | backfill DIA: 36 barras
2026-08-19 15:20:12 | DATA   | backfill TLT: 36 barras
2026-08-19 15:20:12 | DATA   | día anterior (2026-08-18, cierres RTH): cierre=767.36 máx=769.41 mín=767.24
2026-08-19 15:20:12 | DATA   | día anterior (cierres RTH): max=769.41 min=767.24 cierre=767.36
════════════════════════════════════════════════════════════
🔔 2026-08-19 15:20:12 | ARRANQUE | Sistema EN MARCHA — esperando barras (todo activo)
════════════════════════════════════════════════════════════
2026-08-19 15:20:12 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-19 15:20:17 | DATA   | cadena 20260819: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 769.93)
2026-08-19 15:20:17 | DATA   | cadena persistida 2026-08-19 15:20: 82 filas (fuente=live)
2026-08-19 15:21:02 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-19 15:21:07 | DATA   | cadena 20260819: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 769.99)
2026-08-19 15:21:07 | DATA   | cadena persistida 2026-08-19 15:21: 82 filas (fuente=live)
2026-08-19 15:22:02 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-19 15:22:06 | DATA   | cadena 20260819: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 769.68)
2026-08-19 15:22:06 | DATA   | cadena persistida 2026-08-19 15:22: 82 filas (fuente=live)
2026-08-19 15:23:02 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-19 15:23:06 | DATA   | cadena 20260819: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 769.86)
2026-08-19 15:23:06 | DATA   | cadena persistida 2026-08-19 15:23: 82 filas (fuente=live)
2026-08-19 15:24:01 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-19 15:24:06 | DATA   | cadena 20260819: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 769.91)
2026-08-19 15:24:06 | DATA   | cadena persistida 2026-08-19 15:24: 82 filas (fuente=live)
2026-08-19 15:25:01 | DATA   | backfill SPY 120 S 1 min useRTH=False
