=== NOTIF === 2026-08-18 09:09:30 | ARRANQUE | ARRANQUE del sistema vivo — 2026-08-18 (0DTE 20260818)
2026-08-18 09:09:30 | DATA   | IBKR conectando a 127.0.0.1:4002 clientId=17
=== NOTIF === 2026-08-18 09:09:31 | IBKR | IBKR conectado (paper 4002)
=== NOTIF === 2026-08-18 09:09:31 | ARRANQUE | Autocalibra: saldo=200 nivel=1 ancho=2 tope=35 unidades=1
=== NOTIF === 2026-08-18 09:09:31 | ARRANQUE | BACKFILL de arranque (SPY premarket + ETF + día anterior)
2026-08-18 09:09:31 | DATA   | backfill SPY 2 D 1 min useRTH=False
2026-08-18 09:09:33 | DATA   | backfill SPY: 1031 barras persistidas (fecha 2026-08-18)
2026-08-18 09:09:33 | DATA   | backfill DIA: 0 barras
2026-08-18 09:09:34 | DATA   | backfill TLT: 0 barras
2026-08-18 09:09:34 | DATA   | día anterior (2026-08-17, cierres RTH): cierre=772.64 máx=776.64 mín=772.58
2026-08-18 09:09:34 | DATA   | día anterior (cierres RTH): max=776.64 min=772.58 cierre=772.64
=== NOTIF === 2026-08-18 09:09:34 | ARRANQUE | Sistema EN MARCHA — esperando barras (todo activo)
nohup: unknown option -- m
Try 'nohup --help' for more information.
2026-08-18 09:18:03 | DATA   | IBKR conectando a 127.0.0.1:4002 clientId=33
=== NOTIF === 2026-08-18 09:18:04 | IBKR | IBKR conectado (paper 4002)
2026-08-18 09:18:04 | DATA   | IBKR desconectado
2026-08-18 09:24:34 | DATA   | IBKR conectando a 127.0.0.1:4002 clientId=33
=== NOTIF === 2026-08-18 09:24:35 | IBKR | IBKR conectado (paper 4002)
2026-08-18 09:24:35 | DATA   | IBKR desconectado
════════════════════════════════════════════════════════════
🔔 2026-08-18 09:25:00 | ARRANQUE | ARRANQUE del sistema vivo — 2026-08-18 (0DTE 20260818)
════════════════════════════════════════════════════════════
2026-08-18 09:25:00 | DATA   | IBKR conectando a 127.0.0.1:4002 clientId=17
════════════════════════════════════════════════════════════
🔔 2026-08-18 09:25:00 | IBKR | IBKR conectado (paper 4002)
════════════════════════════════════════════════════════════
════════════════════════════════════════════════════════════
🔔 2026-08-18 09:25:00 | ARRANQUE | Autocalibra: saldo=600 nivel=6 ancho=2 tope=110 unidades=1
════════════════════════════════════════════════════════════
════════════════════════════════════════════════════════════
🔔 2026-08-18 09:25:00 | ARRANQUE | BACKFILL de arranque (SPY premarket + ETF + día anterior)
════════════════════════════════════════════════════════════
2026-08-18 09:25:00 | DATA   | backfill SPY 2 D 1 min useRTH=False
2026-08-18 09:25:01 | DATA   | backfill SPY: 1046 barras persistidas (fecha 2026-08-18)
2026-08-18 09:25:01 | DATA   | backfill DIA: 0 barras
2026-08-18 09:25:01 | DATA   | backfill TLT: 0 barras
2026-08-18 09:25:01 | DATA   | día anterior (2026-08-17, cierres RTH): cierre=772.64 máx=776.64 mín=772.58
2026-08-18 09:25:01 | DATA   | día anterior (cierres RTH): max=776.64 min=772.58 cierre=772.64
════════════════════════════════════════════════════════════
🔔 2026-08-18 09:25:01 | ARRANQUE | Sistema EN MARCHA — esperando barras (todo activo)
════════════════════════════════════════════════════════════
2026-08-18 09:30:02 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 09:30:06 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.69)
2026-08-18 09:30:06 | DATA   | cadena persistida 2026-08-18 09:30: 82 filas (fuente=live)
2026-08-18 09:31:02 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 09:31:06 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.68)
2026-08-18 09:31:06 | DATA   | cadena persistida 2026-08-18 09:31: 82 filas (fuente=live)
2026-08-18 09:31:06 | SENAL  | señal 09:30 C (ayer_rev) -> sin_contrato
2026-08-18 09:32:01 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 09:32:06 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 769.26)
2026-08-18 09:32:06 | DATA   | cadena persistida 2026-08-18 09:32: 82 filas (fuente=live)
2026-08-18 09:33:01 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 09:33:06 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.41)
2026-08-18 09:33:06 | DATA   | cadena persistida 2026-08-18 09:33: 82 filas (fuente=live)
2026-08-18 09:34:01 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 09:34:05 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.18)
2026-08-18 09:34:05 | DATA   | cadena persistida 2026-08-18 09:34: 82 filas (fuente=live)
2026-08-18 09:34:05 | SENAL  | señal 09:33 C (gap_fade) -> sin_contrato
2026-08-18 09:35:00 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 09:35:05 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.55)
2026-08-18 09:35:05 | DATA   | cadena persistida 2026-08-18 09:35: 82 filas (fuente=live)
2026-08-18 09:36:00 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 09:36:05 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.58)
2026-08-18 09:36:05 | DATA   | cadena persistida 2026-08-18 09:36: 82 filas (fuente=live)
2026-08-18 09:37:00 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 09:37:04 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.43)
2026-08-18 09:37:04 | DATA   | cadena persistida 2026-08-18 09:37: 82 filas (fuente=live)
2026-08-18 09:38:04 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 09:38:09 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.44)
2026-08-18 09:38:09 | DATA   | cadena persistida 2026-08-18 09:38: 82 filas (fuente=live)
2026-08-18 09:39:04 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 09:39:08 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.99)
2026-08-18 09:39:08 | DATA   | cadena persistida 2026-08-18 09:39: 82 filas (fuente=live)
2026-08-18 09:40:03 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 09:40:08 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 769.13)
2026-08-18 09:40:08 | DATA   | cadena persistida 2026-08-18 09:40: 82 filas (fuente=live)
2026-08-18 09:41:03 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 09:41:08 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 769.23)
2026-08-18 09:41:08 | DATA   | cadena persistida 2026-08-18 09:41: 82 filas (fuente=live)
2026-08-18 09:42:03 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 09:42:07 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 769.41)
2026-08-18 09:42:07 | DATA   | cadena persistida 2026-08-18 09:42: 82 filas (fuente=live)
2026-08-18 09:43:02 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 09:43:07 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 769.19)
2026-08-18 09:43:07 | DATA   | cadena persistida 2026-08-18 09:43: 82 filas (fuente=live)
2026-08-18 09:44:02 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 09:44:07 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 769.08)
2026-08-18 09:44:07 | DATA   | cadena persistida 2026-08-18 09:44: 82 filas (fuente=live)
2026-08-18 09:45:02 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 09:45:06 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.75)
2026-08-18 09:45:06 | DATA   | cadena persistida 2026-08-18 09:45: 82 filas (fuente=live)
2026-08-18 09:46:01 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 09:46:06 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.93)
2026-08-18 09:46:06 | DATA   | cadena persistida 2026-08-18 09:46: 82 filas (fuente=live)
2026-08-18 09:47:01 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 09:47:06 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.58)
2026-08-18 09:47:06 | DATA   | cadena persistida 2026-08-18 09:47: 82 filas (fuente=live)
2026-08-18 09:48:01 | DATA   | backfill SPY 120 S 1 min useRTH=False
2026-08-18 09:48:05 | DATA   | cadena 20260818: 82 contratos (ITM+OTM C/P) capturados y cancelados (spot 768.75)
2026-08-18 09:48:05 | DATA   | cadena persistida 2026-08-18 09:48: 82 filas (fuente=live)
